tournament_year,stage,player_1name,player_2name,player_1score,player_2score
1998,QUARTER-FINALS,Warriner-Little A.,Brown S.,3.0,1.0
1998,QUARTER-FINALS,Warriner-Little A.,Robinson H.,0.0,3.0
1997,QUARTER-FINALS,Bristow E.,Warriner-Little A.,5.0,3.0
1997,QUARTER-FINALS,Deller K.,Taylor P.,1.0,5.0
1997,QUARTER-FINALS,Evison P.,Harvey J.,5.0,3.0
1997,QUARTER-FINALS,Harrington R.,Priestley D.,2.0,5.0
1997,QUARTER-FINALS,Anderson B.,Bristow E.,1.0,3.0
1997,QUARTER-FINALS,Anderson B.,Mawson G.,3.0,1.0
1997,QUARTER-FINALS,Bristow E.,Mawson G.,1.0,3.0
1997,QUARTER-FINALS,Burgess S.,Downs S.,1.0,3.0
1997,QUARTER-FINALS,Burgess S.,Harrington R.,3.0,2.0
1997,QUARTER-FINALS,Downs S.,Harrington R.,1.0,3.0
1997,QUARTER-FINALS,Evison P.,Lazarenko C.,3.0,0.0
1997,QUARTER-FINALS,Evison P.,Raw S.,3.0,1.0
1997,QUARTER-FINALS,Gardner R.,Brown S.,2.0,3.0
1997,QUARTER-FINALS,Harvey J.,Lim P.,3.0,2.0
1997,QUARTER-FINALS,Harvey J.,Lowe J.,3.0,2.0
1997,QUARTER-FINALS,Lazarenko C.,Raw S.,1.0,3.0
1997,QUARTER-FINALS,Lowe J.,Lim P.,3.0,1.0
1997,QUARTER-FINALS,Priestley D.,Brown S.,3.0,0.0
1997,QUARTER-FINALS,Priestley D.,Gardner R.,3.0,1.0
1997,QUARTER-FINALS,Smith D.,Deller K.,2.0,3.0
1997,QUARTER-FINALS,Spiolek K.,Deller K.,0.0,3.0
1997,QUARTER-FINALS,Spiolek K.,Smith D.,0.0,3.0
1997,QUARTER-FINALS,Stoddart G.,Butler L.,3.0,1.0
1997,QUARTER-FINALS,Taylor P.,Mason C.,3.0,0.0
1997,QUARTER-FINALS,Taylor P.,Verrier G.,3.0,0.0
1997,QUARTER-FINALS,Verrier G.,Mason C.,3.0,1.0
1997,QUARTER-FINALS,Warriner-Little A.,Butler L.,3.0,1.0
1997,QUARTER-FINALS,Warriner-Little A.,Stoddart G.,3.0,1.0
1996,QUARTER-FINALS,Butler L.,Harvey J.,0.0,4.0
1996,QUARTER-FINALS,Evison P.,Lowe J.,2.0,4.0
1996,QUARTER-FINALS,Taylor P.,Deller K.,4.0,0.0
1996,QUARTER-FINALS,Warriner-Little A.,Priestley D.,1.0,4.0
1996,QUARTER-FINALS,Bristow E.,Gardner R.,3.0,2.0
1996,QUARTER-FINALS,Brown S.,Stoddart G.,3.0,2.0
1996,QUARTER-FINALS,Brown S.,Warriner-Little A.,0.0,3.0
1996,QUARTER-FINALS,Burgess S.,Lazarenko C.,3.0,1.0
1996,QUARTER-FINALS,Butler L.,Justice N.,3.0,2.0
1996,QUARTER-FINALS,Downs S.,Deller K.,1.0,3.0
1996,QUARTER-FINALS,Evison P.,Mawson G.,3.0,0.0
1996,QUARTER-FINALS,Evison P.,Raw S.,3.0,2.0
1996,QUARTER-FINALS,Harrington R.,Butler L.,2.0,3.0
1996,QUARTER-FINALS,Harrington R.,Justice N.,3.0,1.0
1996,QUARTER-FINALS,Harvey J.,Anderson B.,3.0,2.0
1996,QUARTER-FINALS,Harvey J.,Verrier G.,3.0,2.0
1996,QUARTER-FINALS,Lowe J.,Kirby T.,3.0,1.0
1996,QUARTER-FINALS,Lowe J.,Smith D.,3.0,0.0
1996,QUARTER-FINALS,Priestley D.,Bristow E.,3.0,0.0
1996,QUARTER-FINALS,Priestley D.,Gardner R.,3.0,0.0
1996,QUARTER-FINALS,Raw S.,Mawson G.,3.0,0.0
1996,QUARTER-FINALS,Smith D.,Kirby T.,3.0,1.0
1996,QUARTER-FINALS,Spiolek K.,Deller K.,2.0,3.0
1996,QUARTER-FINALS,Spiolek K.,Downs S.,0.0,3.0
1996,QUARTER-FINALS,Taylor P.,Burgess S.,3.0,0.0
1996,QUARTER-FINALS,Taylor P.,Lazarenko C.,3.0,0.0
1996,QUARTER-FINALS,Verrier G.,Anderson B.,1.0,3.0
1996,QUARTER-FINALS,Warriner-Little A.,Stoddart G.,3.0,2.0
1995,QUARTER-FINALS,Anderson B.,Taylor P.,1.0,4.0
1995,QUARTER-FINALS,Evison P.,Spiolek K.,4.0,1.0
1995,QUARTER-FINALS,Harvey J.,Harrington R.,2.0,4.0
1995,QUARTER-FINALS,Smith D.,Lowe J.,0.0,4.0
1995,QUARTER-FINALS,Anderson B.,Gardner R.,3.0,1.0
1995,QUARTER-FINALS,Evison P.,Lazarenko C.,3.0,0.0
1995,QUARTER-FINALS,Harrington R.,Burgess S.,3.0,2.0
1995,QUARTER-FINALS,Lowe J.,Wilson J.,3.0,0.0
1995,QUARTER-FINALS,Smith D.,Kirby T.,3.0,1.0
1995,QUARTER-FINALS,Spiolek K.,Butler L.,3.0,0.0
