source;target
Burnett R.;Hubbard J.
Gurney D.;Marijanovic R.
Jones W.;Hendriks J.
Painter K.;Chen N. L.
Lewis A.;Vos G.
Nicholson P.;Stompe C.
Welge A.;Chen N. L.
Thornton R.;Caris M.
Hamilton A.;Lewis A.
Lewis A.;Wade J.
Hamilton A.;Whitlock S.
Lewis A.;Jenkins T.
Whitlock S.;Anderson G.
Part J.;Wade J.
Hamilton A.;Huybrechts K.
Anderson G.;Lloyd C.
Chisnall D.;Hamilton A.
Whitlock S.;van Gerwen M.
Huybrechts K.;Nicholson P.
Wade J.;Farmer S.
Part J.;Painter K.
Pipe J.;Jenkins T.
Lewis A.;Jones W.
Anderson G.;Petersen D.
Lloyd C.;Rand S.
Whitlock S.;Beaton S.
King M.;van Gerwen M.
Nicholson P.;Tabern A.
Taylor P.;Chisnall D.
Richardson J.;Huybrechts K.
Van der Voort V.;Hamilton A.
Burnett R.;Part J.
Jenkins T.;Stompe C.
Farmer S.;Munch K.
Wade J.;Klaasen J.
Walsh M.;Painter K.
Newton W.;Pipe J.
Lewis A.;Thornton R.
Jones W.;Scholten R.
Brown S.;Petersen D.
Whitlock S.;Smith D.
Part J.;Henderson J.
Petersen D.;de Sousa J.
Smith A.;Rand S.
Jenkins T.;Cullen J.
Anderson G.;Artut J.
Osborne C.;van Gerwen M.
Cullen J.;Ferenc O.
Lloyd C.;Young D.
Wade J.;Korte P.
Painter K.;Monk A.
King M.;Kime G.
Laursen P.;Korte P.
Hamilton A.;Alcinas T.
Walsh M.;French W.
van Barneveld R.;Richardson J.
Dudbridge M.;Chisnall D.
Dolan B.;Huybrechts K.
Finnan C.;French W.
Ovens D.;Munch K.
Nicholson P.;Suljovic M.
Van der Voort V.;Hylton M.
Munch K.;Peng L. Ch.
Beaton S.;Caris M.
Tabern A.;Perez C.
Thornton R.;White I.
Baxter R.;Farmer S.
Burger D.;Perez C.
Wright P.;Klaasen J.
Taylor P.;Muramatsu H.
Newton W.;van de Rijk K.
Stompe C.;Smith M.
Muramatsu H.;Nilsson D.
Pipe J.;Reed S.
Jones W.;MacKenzie S.
Lewis A.;Heydon N.
Webster M.;Burnett R.
Barham P.;MacKenzie S.
Caven J.;Scholten R.
