source;target
van den Bergh D.;Wattimena J.
Huybrechts K.;Searle R.
Ratajski K.;Whitlock S.
Smith M.;Lowe J.
Aspinall N.;Waites S.
Wattimena J.;Kenny N.
Chisnall D.;Brown K.
Suljovic M.;Edgar M.
Bunting S.;Boulton A.
Anderson G.;Razma M.
Evans R.;Mansell M.
van den Bergh D.;Lim P.
Cross R.;van Duijvenbode D.
Petersen D.;Lennon S.
Noppert D.;Carolissen C.
Lewis A.;Baggish D.
Whitlock S.;Labanauskas D.
Cullen J.;Jones W.
Dolan B.;Foulkes E.
Clemens G.;Kurz N.
Price G.;Lewis J.
White I.;Huybrechts K.
Ratajski K.;Joyce R.
Clayton J.;Henderson J.
de Zwaan J.;Searle R.
Brown K.;Meikle R.
Kleermaker M.;Carolissen C.
Van der Voort V.;Meulenkamp R.
Kuivenhoven M.;Edgar M.
Lowe J.;Gorbunov D.
Telnekes D.;Kenny N.
van Gerwen M.;Murray R.
Heta D.;Baggish D.
Boulton A.;Hedman D.
Hamilton A.;Kurz N.
King M.;Hopp M.
Huybrechts K.;Zhuang D.
Waites S.;Campbell M.
Lennon S.;Larsson D.
Wade J.;Rydz C.
Humphries L.;Lim P.
Henderson J.;Kantele M.
van Duijvenbode D.;Brooks B.
Hughes J.;Hunt A.
Jones W.;Teehan C.
Labanauskas D.;Liu C. A.
Mansell M.;Puha H.
de Sousa J.;Smith R.
Searle R.;Lauby D. Jr.
Meulenkamp R.;Krcmar B.
Woodhouse L.;Lewis J.
Gurney D.;O'Connor W.
Murray R.;Ilagan L.
de Decker M.;Foulkes E.
Razma M.;Suzuki T.
Durrant G.;Portela D.
Hunt A.;Ashton L.
Rydz C.;Bailey J.
Hopp M.;Mathers G.
Dobey C.;Smith J.
O'Connor W.;Zonneveld N.
Smith R.;Evans D.
Joyce R.;Sedlacek K.
Wright P.;West S.
Smith J.;Barry K.
Beaton S.;Portela D.
West S.;Gilitwala A.
van Gerwen M.;Wright P.
van Gerwen M.;Aspinall N.
Wright P.;Price G.
Durrant G.;Price G.
van Gerwen M.;Labanauskas D.
Humphries L.;Wright P.
Aspinall N.;van den Bergh D.
Price G.;Whitlock S.
Durrant G.;Dobey C.
Wright P.;de Zwaan J.
van den Bergh D.;Lewis A.
Huybrechts K.;Humphries L.
Beaton S.;Labanauskas D.
van Gerwen M.;Bunting S.
Anderson G.;Aspinall N.
Price G.;Henderson J.
Sherrock F.;Dobey C.
Gurney D.;Durrant G.
Whitlock S.;King M.
Wright P.;Asada S.
Anderson G.;Searle R.
Chisnall D.;de Zwaan J.
Woodhouse L.;van den Bergh D.
Lewis A.;Webster D.
Kurz N.;Humphries L.
van Gerwen M.;Evans R.
Huybrechts K.;Noppert D.
Wade J.;Beaton S.
Aspinall N.;Ratajski K.
Labanauskas D.;Hopp M.
Clayton J.;Bunting S.
van den Bergh D.;Payne J.
Suljovic M.;Sherrock F.
Durrant G.;Heta D.
Gurney D.;Pipe J.
Lewis A.;Reyes C.
West S.;Searle R.
Whitlock S.;Ward H.
Brown K.;Asada S.
Wright P.;Malicdem N.
Hopp M.;van de Pas B.
Cullen J.;Kurz N.
Aspinall N.;Baggish D.
Evans R.;McGeeney M.
Clayton J.;Dekker J.
King M.;Teehan C.
Webster D.;Yamada Y.
Price G.;O'Connor W.
Chisnall D.;Van der Voort V.
Noppert D.;Rydz C.
Dobey C.;Meulenkamp R.
Beaton S.;Anderson K.
Henderson J.;Richardson J.
Joyce R.;Dekker J.
Pipe J.;Pratnemer B.
Wade J.;Edhouse R.
Clemens G.;van de Pas B.
Payne J.;Portela D.
Wilson J.;Kurz N.
Bunting S.;Justicia J.
Ward H.;Razma M.
Mansell M.;Asada S.
Meulenkamp R.;Robb B.
de Zwaan J.;Young D.
Evetts T.;Sherrock F.
de Sousa J.;Heta D.
Edhouse R.;Koltsov B.
Ratajski K.;Lerchbacher Z.
Rodriguez R.-J.;Malicdem N.
Reyes C.;Ilagan L.
Searle R.;King R.
Anderson G.;Dolan B.
Van der Voort V.;Barry K.
O'Connor W.;Kantele M.
Lennon S.;Rydz C.
Smith M.;Woodhouse L.
Richardson J.;Suzuki M.
Boulton A.;Baggish D.
Monk A.;Justicia J.
White I.;Labanauskas D.
Dolan B.;Kumar N.
Smith R.;Teehan C.
Anderson K.;Zong X. C.
Cross R.;Huybrechts K.
van Barneveld R.;Young D.
Hughes J.;Lerchbacher Z.
McGeeney M.;Campbell M.
Wattimena J.;Humphries L.
Woodhouse L.;Lim P.
Meikle R.;Yamada Y.
Labanauskas D.;Edgar M.
van Gerwen M.;Klaasen J.
Humphries L.;Petersen D.
Huybrechts K.;Nentjes G.
Klaasen J.;Burness K.
van Gerwen M.;Smith M.
van Gerwen M.;Anderson G.
Smith M.;Aspinall N.
van Gerwen M.;Joyce R.
Humphries L.;Smith M.
Anderson G.;Chisnall D.
Aspinall N.;Dolan B.
Cross R.;Humphries L.
Lewis J.;Chisnall D.
Searle R.;Smith M.
Joyce R.;Wade J.
van de Pas B.;Dolan B.
Aspinall N.;Petersen D.
van Gerwen M.;Lewis A.
Anderson G.;Dobey C.
Alcinas T.;van de Pas B.
Smith M.;Henderson J.
van den Bergh D.;Humphries L.
Petersen D.;West S.
Cross R.;Reyes C.
Aspinall N.;Anderson K.
Lewis A.;Labanauskas D.
Wade J.;Brown K.
Dolan B.;King M.
Van der Voort V.;Dobey C.
van Gerwen M.;Hopp M.
Anderson G.;Wattimena J.
Searle R.;O'Connor W.
Gurney D.;Lewis J.
Chisnall D.;Huybrechts K.
Joyce R.;Norris A.
Clayton J.;van den Bergh D.
Price G.;Aspinall N.
Klaasen J.;Brown K.
White I.;Petersen D.
Anderson K.;Malicdem N.
West S.;North R.
Henderson J.;Clemens G.
van de Pas B.;Long J.
Suljovic M.;Searle R.
Lewis A.;Evetts T.
King M.;Dekker J.
Reyes C.;Rodriguez R.-J.
Beaton S.;Dobey C.
Bunting S.;Humphries L.
Norris A.;Lennon S.
Wattimena J.;Barnard M.
Wade J.;Asada S.
Smith M.;Meulenkamp R.
Whitlock S.;Joyce R.
Wilson J.;O'Connor W.
Huybrechts K.;Larsson D.
Cullen J.;Dolan B.
de Graaf J.;Malicdem N.
Aspinall N.;Nentjes G.
Gurney D.;Smith R.
van den Bergh D.;Puleo C.
Meulenkamp R.;Portela D.
Lennon S.;Bailey J.
Webster D.;Van der Voort V.
Ratajski K.;Asada S.
Evans R.;Rodriguez R.-J.
Thornton R.;Larsson D.
van Barneveld R.;Labanauskas D.
Joyce R.;Dobromyslova A.
Jones W.;Petersen D.
Van der Voort V.;Ilagan L.
Wright P.;Alcinas T.
Smith R.;Lim P.
Edgar M.;Labanauskas D.
Humphries L.;Hunt A.
Chisnall D.;Payne J.
Dolan B.;Liu Y.
O'Connor W.;Meeuwisse Y.
Clemens G.;Kirk A.
van Gerwen M.;Tabern A.
Brown K.;Sedlacek K.
Searle R.;Burton S.
Alcinas T.;Ross C.
Hopp M.;Noppert D.
Payne J.;Smith J.
Mansell M.;Long J.
North R.;Marijanovic R.
Anderson G.;Burness K.
Dobey C.;Koltsov B.
Stevenson S.;Evetts T.
Noppert D.;Lam R.
Lewis J.;Harris C.
Nicholson P.;Burness K.
Tabern A.;Smith R.
Barnard M.;de Sousa J.
Cross R.;de Zwaan J.
Dekker J.;Ashton L.
Schindler M.;Harris C.
de Zwaan J.;Kumar N.
Cross R.;Taylor P.
van Gerwen M.;Cross R.
Lewis J.;Taylor P.
Taylor P.;Anderson G.
van Gerwen M.;van Barneveld R.
van den Bergh D.;Cross R.
Lewis J.;Webster D.
Anderson G.;West S.
Taylor P.;Brown K.
Lewis J.;Richardson J.
Henderson J.;Cross R.
Suljovic M.;van den Bergh D.
Alcinas T.;Webster D.
van Gerwen M.;Price G.
Van der Voort V.;van Barneveld R.
Wright P.;Lewis J.
Munch K.;Alcinas T.
Norris A.;Richardson J.
Whitlock S.;Webster D.
van Barneveld R.;Anderson K.
Taylor P.;Pipe J.
Gurney D.;Henderson J.
West S.;Wattimena J.
Smith M.;Cross R.
Brown K.;Lerchbacher Z.
van Gerwen M.;Wilson J.
Anderson G.;Lim P.
Suljovic M.;Thornton R.
Dekker J.;van den Bergh D.
Van der Voort V.;Beaton S.
Price G.;White I.
Wright P.;Portela D.
Webster D.;Petersen D.
Huybrechts K.;Richardson J.
Reyes C.;Alcinas T.
Pipe J.;Smith B.
Whitlock S.;Schindler M.
Smith M.;Lennon S.
Zong X. C.;Smith B.
Lewis A.;Munch K.
van Barneveld R.;North R.
Henderson J.;Kantele M.
Oreshkin A.;Munch K.
Webster M.;Lim P.
Gurney D.;Huybrechts R.
Suljovic M.;Painter K.
Leung K. F.;Lim P.
White I.;Harris C.
Chisnall D.;Van der Voort V.
Wade J.;Brown K.
Bruguier W.;Harris C.
Clayton J.;Lewis J.
Anderson K.;Jacques P.
Norris A.;Viljanen K.
Neyens K.;Lewis J.
Anderson G.;Smith J.
Klaasen J.;Dekker J.
Cullen J.;Wattimena J.
Smith J.;Humphries L.
Thornton R.;Dolan B.
King M.;Lerchbacher Z.
van de Pas B.;West S.
Ljubic A.;Dolan B.
Cross R.;Asada S.
Taylor P.;Dobey C.
Bunting S.;van den Bergh D.
Asada S.;Mathers G.
Price G.;Evetts T.
van Gerwen M.;Kist C.
Wilson J.;Ratajski K.
Beaton S.;O'Connor W.
van Gerwen M.;Anderson G.
van Gerwen M.;van Barneveld R.
Anderson G.;Wright P.
van Barneveld R.;Taylor P.
van Gerwen M.;Gurney D.
Anderson G.;Chisnall D.
Wade J.;Wright P.
van Gerwen M.;Webster D.
Taylor P.;Huybrechts K.
Wright P.;White I.
Wade J.;Smith M.
Chisnall D.;Klaasen J.
Webster M.;Gurney D.
Lewis A.;van Barneveld R.
Anderson G.;van de Pas B.
Wright P.;Lewis J.
Klaasen J.;Dolan B.
Wade J.;Beaton S.
Huybrechts K.;Hopp M.
van Gerwen M.;Reyes C.
Taylor P.;Painter K.
van Barneveld R.;Norris A.
Chisnall D.;Dobey C.
Thornton R.;Gurney D.
Suljovic M.;Webster M.
Lewis A.;Cullen J.
Anderson G.;Gilding A.
Webster D.;Whitlock S.
van de Pas B.;Jenkins T.
Smith M.;King M.
White I.;Clayton J.
Huybrechts K.;Wilson J.
Chisnall D.;Rodriguez R.-J.
Van der Voort V.;Hopp M.
Klaasen J.;de Graaf J.
Thornton R.;Lerchbacher Z.
Wade J.;Huybrechts R.
Suljovic M.;Meulenkamp R.
Lerchbacher Z.;Stevenson S.
Whitlock S.;Horvat D.
van Barneveld R.;Green R.
Dolan B.;Kist C.
Koltsov B.;Horvat D.
Cullen J.;Cadby C.
Lewis A.;Caris M.
King M.;West S.
Qiang S.;Cadby C.
Taylor P.;Platt D.
Norris A.;Michael J.
Gurney D.;Wattimena J.
Bowles J.;Platt D.
White I.;Simm K.
Webster M.;Murnan J.
Pipe J.;Dobey C.
Simm K.;Ulang G.
van Gerwen M.;Viljanen K.
Bunting S.;Webster D.
Reyes C.;van den Bergh D.
Snook R.;Viljanen K.
van de Pas B.;Shah T. H.
Henderson J.;Gilding A.
Jenkins T.;Payne J.
Shah T. H.;Chino M.
Wright P.;Hendriks J.
Beaton S.;Petersen D.
Price G.;Clayton J.
Hendriks J.;Parry W.
Smith M.;Evans R.
Anderson G.;Frost M.
Lewis J.;McGowan M.
Caven J.;Painter K.
Lewis A.;Anderson G.
Anderson G.;Klaasen J.
van Barneveld R.;Lewis A.
Lewis A.;Wright P.
van Barneveld R.;Smith M.
Anderson G.;Wade J.
Norris A.;Klaasen J.
Taylor P.;Klaasen J.
Norris A.;Webster M.
Wright P.;Chisnall D.
van Gerwen M.;van Barneveld R.
Anderson G.;Van der Voort V.
Lewis A.;Suljovic M.
Wade J.;Caven J.
Smith M.;van de Pas B.
King M.;Klaasen J.
Taylor P.;Painter K.
Wright P.;Huybrechts R.
Lewis A.;Gilding A.
Pallett D.;Suljovic M.
Jenkins T.;Webster M.
Norris A.;Murnan J.
van Gerwen M.;Webster D.
Wade J.;Newton W.
van Barneveld R.;Bunting S.
Van der Voort V.;Anderson K.
van den Bergh D.;van de Pas B.
Smith M.;Beaton S.
Anderson G.;Gurney D.
Chisnall D.;Kist C.
Evans R.;Caven J.
Klaasen J.;Cullen J.
Lewis A.;Dekker J.
van de Pas B.;Hopp M.
Gilding A.;Price G.
Jenkins T.;Young D.
Chisnall D.;Rodriguez R.-J.
Newton W.;Reyes C.
Winstanley D.;Huybrechts R.
Wade J.;Michael J.
Smith M.;de Zwaan J.
Thornton R.;Norris A.
Scheffer W.;Michael J.
King M.;Oreshkin A.
van Barneveld R.;van Duijvenbode D.
Bunting S.;Artut J.
Oreshkin A.;Lim P.
Caven J.;Szabo R.
Suljovic M.;Wattimena J.
Hamilton A.;Murnan J.
Rasztovits M.;Szabo R.
Taylor P.;Ono K.
Van der Voort V.;Ryder L.
Whitlock S.;Evans R.
Ono K.;Tagarao A.
Painter K.;Viljanen K.
White I.;van den Bergh D.
Beaton S.;Kokiri K.
Viljanen K.;Groen S.
van Gerwen M.;Eidams R.
Huybrechts K.;Pallett D.
Dolan B.;Anderson K.
Gaweenuntawong T.;Eidams R.
Webster M.;McGowan M.
Pipe J.;Kist C.
Henderson J.;Webster D.
Qiang S.;McGowan M.
Anderson G.;Boulton A.
Wright P.;Brown K.
Lewis J.;Gurney D.
Boulton A.;Laursen P.
Anderson G.;Taylor P.
Taylor P.;van Barneveld R.
van Gerwen M.;Anderson G.
Bunting S.;van Barneveld R.
Taylor P.;Van der Voort V.
Wright P.;Anderson G.
van Gerwen M.;Thornton R.
Bunting S.;Smith M.
Taylor P.;Huybrechts K.
Lewis A.;van Barneveld R.
Winstanley D.;Van der Voort V.
Anderson G.;Reyes C.
Wright P.;Hamilton A.
van de Pas B.;Thornton R.
van Gerwen M.;Jenkins T.
Wade J.;Bunting S.
van Barneveld R.;Caven J.
Hopp M.;Van der Voort V.
Dolan B.;Smith M.
Lewis A.;Brown K.
Taylor P.;Webster M.
Webster D.;Winstanley D.
White I.;Huybrechts K.
Reyes C.;Painter K.
Hamilton A.;Anderson K.
Anderson G.;Klaasen J.
van Gerwen M.;Stein S.
Chisnall D.;van de Pas B.
Wright P.;Huybrechts R.
Jenkins T.;Ryder L.
Thornton R.;Baxter R.
Bunting S.;Marijanovic R.
Lewis A.;Pallett D.
King M.;Hopp M.
Wattimena J.;Marijanovic R.
Van der Voort V.;Henderson J.
Dolan B.;Arendse N.
van Barneveld R.;Rodriguez R.-J.
Smith M.;Suljovic M.
Arendse N.;Hon A.
Caven J.;Hogg J.
White I.;Michael J.
Wade J.;Lewis J.
Chisnall D.;de Vreede R.
Haavisto J.;Michael J.
Huybrechts K.;Mansell M.
Painter K.;Koltsov B.
Winstanley D.;Jones W.
Webster M.;Meulenkamp R.
Koltsov B.;Muramatsu H.
Nicholson P.;van de Pas B.
Anderson G.;Kirchner S.
Whitlock S.;Webster D.
Jenkins T.;Weber J.
McGrath M.;Kirchner S.
Beaton S.;Anderson K.
Baxter R.;Gurney D.
Thornton R.;Gilding A.
Pipe J.;Ryder L.
MacKenzie S.;Gurney D.
Smith A.;Huybrechts R.
Kellett S.;Stein S.
Taylor P.;Artut J.
Wright P.;Price G.
Viljanen K.;Stein S.
Hamilton A.;Richardson D.
Newton W.;Reyes C.
van Gerwen M.;Cullen J.
Klaasen J.;Kist C.
Perez C.;Reyes C.
Part J.;Brown K.
Wright P.;van Gerwen M.
van Gerwen M.;Lewis A.
Wright P.;Whitlock S.
Wade J.;Lewis A.
van Gerwen M.;Webster M.
White I.;Whitlock S.
Wright P.;Newton W.
van Gerwen M.;Anderson G.
Wade J.;Petersen D.
Lewis A.;King M.
Webster M.;van Barneveld R.
Smith M.;Wright P.
Whitlock S.;Painter K.
Burnett R.;White I.
Newton W.;Thornton R.
Pipe J.;Petersen D.
Lewis A.;Van der Voort V.
King M.;Evans R.
Wade J.;Smith A.
van Gerwen M.;McDine K.
Henderson J.;Webster M.
Newton W.;Part J.
Whitlock S.;Komula J.
Painter K.;Nicholson P.
Dolan B.;Anderson G.
Huybrechts K.;White I.
Thornton R.;Anderson B.
Hamilton A.;Burnett R.
Taylor P.;Smith M.
van Barneveld R.;Caven J.
Wright P.;Laursen P.
Painter K.;Seyler T.
Newton W.;Lam R.
Wade J.;Webster D.
Vos G.;Lam R.
Webster M.;Suljovic M.
Lewis A.;Smith D.
Smith M.;Hashimoto M.
Pipe J.;Monk A.
Hashimoto M.;Lim P.
Smith A.;Brown S.
Whitlock S.;Smith R.
van Gerwen M.;Lerchbacher Z.
Van der Voort V.;Clark M.
Lerchbacher Z.;Ward B.
Lloyd C.;Anderson B.
King M.;Young D.
Beaton S.;Petersen D.
Huybrechts K.;Huybrechts R.
Petersen D.;Latif Sapup M.
Baxter R.;Evans R.
Caven J.;Klaasen J.
Dolan B.;Osborne C.
van Barneveld R.;Lewis J.
Lindskjold D.;Osborne C.
Chisnall D.;Henderson J.
Nicholson P.;Kellett S.
Hamilton A.;Barbero J.
Anderson G.;Dudbridge M.
Thornton R.;Hopp M.
Barbero J.;Welge A.
White I.;Anderson K.
Jenkins T.;Laursen P.
Jones W.;McDine K.
McGarry C.;Laursen P.
Walsh M.;Komula J.
Burnett R.;Winstanley D.
Taylor P.;Szabo R.
Wright P.;Cullen J.
Szabo R.;Moss I.
Part J.;Michels M.
Taylor P.;van Gerwen M.
Taylor P.;van Barneveld R.
van Gerwen M.;Wade J.
Lewis A.;van Gerwen M.
Newton W.;Wade J.
Taylor P.;Hamilton A.
Whitlock S.;van Barneveld R.
Lewis A.;Painter K.
Anderson G.;van Barneveld R.
van Gerwen M.;Lloyd C.
Wade J.;Van der Voort V.
Whitlock S.;Chisnall D.
Newton W.;Walsh M.
Taylor P.;Thornton R.
Hamilton A.;Jenkins T.
van Gerwen M.;Wright P.
Wade J.;Beaton S.
Winstanley D.;Van der Voort V.
Pipe J.;Walsh M.
Lewis A.;Ovens D.
Whitlock S.;Osborne C.
Newton W.;Rand S.
van Barneveld R.;Dolan B.
Webster M.;Lloyd C.
Painter K.;Baxter R.
Taylor P.;Hendriks J.
Nicholson P.;Thornton R.
Jenkins T.;Part J.
Anderson G.;Bowles J.
Chisnall D.;Gurney D.
Hamilton A.;Burnett R.
van Gerwen M.;Lim P.
Van der Voort V.;Kellett S.
Huybrechts K.;Rand S.
Lim P.;Latif Sapup M.
Walsh M.;Webster D.
Whitlock S.;Muramatsu H.
Lloyd C.;Young D.
Baxter R.;Priestley D.
Muramatsu H.;Dave H.
Pipe J.;Jenkins A.
Osborne C.;Ilagan L.
King M.;Winstanley D.
Newton W.;Haines J.
Ilagan L.;Lewis J.
Beaton S.;Anderson K.
Caven J.;Bowles J.
Wade J.;Hudson P.
Webster M.;White I.
Rodriguez C.;Bowles J.
Wright P.;Monk A.
Anderson G.;Haavisto J.
van Barneveld R.;Smith M.
Hamilton A.;Richardson J.
Komula J.;Haavisto J.
Dolan B.;Jones M.
Ovens D.;Hopp M.
Taylor P.;Mansell M.
Part J.;Cullen J.
Hopp M.;Charl P.
Chisnall D.;Tichowitsch S.
Smith A.;Gurney D.
Jenkins T.;Brown S.
Burnett R.;Hubbard J.
Gurney D.;Marijanovic R.
Jones W.;Hendriks J.
Painter K.;Chen N. L.
Lewis A.;Vos G.
Nicholson P.;Stompe C.
Welge A.;Chen N. L.
Thornton R.;Caris M.
Hamilton A.;Lewis A.
Lewis A.;Wade J.
Hamilton A.;Whitlock S.
Lewis A.;Jenkins T.
Whitlock S.;Anderson G.
Part J.;Wade J.
Hamilton A.;Huybrechts K.
Anderson G.;Lloyd C.
Chisnall D.;Hamilton A.
Whitlock S.;van Gerwen M.
Huybrechts K.;Nicholson P.
Wade J.;Farmer S.
Part J.;Painter K.
Pipe J.;Jenkins T.
Lewis A.;Jones W.
Anderson G.;Petersen D.
Lloyd C.;Rand S.
Whitlock S.;Beaton S.
King M.;van Gerwen M.
Nicholson P.;Tabern A.
Taylor P.;Chisnall D.
Richardson J.;Huybrechts K.
Van der Voort V.;Hamilton A.
Burnett R.;Part J.
Jenkins T.;Stompe C.
Farmer S.;Munch K.
Wade J.;Klaasen J.
Walsh M.;Painter K.
Newton W.;Pipe J.
Lewis A.;Thornton R.
Jones W.;Scholten R.
Brown S.;Petersen D.
Whitlock S.;Smith D.
Part J.;Henderson J.
Petersen D.;de Sousa J.
Smith A.;Rand S.
Jenkins T.;Cullen J.
Anderson G.;Artut J.
Osborne C.;van Gerwen M.
Cullen J.;Ferenc O.
Lloyd C.;Young D.
Wade J.;Korte P.
Painter K.;Monk A.
King M.;Kime G.
Laursen P.;Korte P.
Hamilton A.;Alcinas T.
Walsh M.;French W.
van Barneveld R.;Richardson J.
Dudbridge M.;Chisnall D.
Dolan B.;Huybrechts K.
Finnan C.;French W.
Ovens D.;Munch K.
Nicholson P.;Suljovic M.
Van der Voort V.;Hylton M.
Munch K.;Peng L. Ch.
Beaton S.;Caris M.
Tabern A.;Perez C.
Thornton R.;White I.
Baxter R.;Farmer S.
Burger D.;Perez C.
Wright P.;Klaasen J.
Taylor P.;Muramatsu H.
Newton W.;van de Rijk K.
Stompe C.;Smith M.
Muramatsu H.;Nilsson D.
Pipe J.;Reed S.
Jones W.;MacKenzie S.
Lewis A.;Heydon N.
Webster M.;Burnett R.
Barham P.;MacKenzie S.
Caven J.;Scholten R.
Lewis A.;Anderson G.
Jenkins T.;Anderson G.
Webster M.;Lewis A.
Taylor P.;Webster M.
Anderson G.;van Barneveld R.
Lewis A.;Van der Voort V.
Newton W.;Jenkins T.
Suljovic M.;Newton W.
van Barneveld R.;Osborne C.
Whitlock S.;Van der Voort V.
Jenkins T.;Walsh M.
Smith A.;Anderson G.
Lewis A.;Thornton R.
Taylor P.;Wright P.
Webster M.;Hylton M.
van Barneveld R.;McDine K.
King M.;Smith A.
Anderson G.;Priestley D.
Osborne C.;Caven J.
Wade J.;Suljovic M.
Whitlock S.;Ovens D.
Newton W.;Dolan B.
Jenkins T.;Brown S.
Jones W.;Van der Voort V.
Walsh M.;Tabern A.
Taylor P.;Laursen P.
Lewis A.;Dudbridge M.
Lloyd C.;Hylton M.
Hamilton A.;Thornton R.
Nicholson P.;Wright P.
Baxter R.;Webster M.
King M.;Caris M.
Priestley D.;Roith B.
Walsh M.;Pipe J.
Caris M.;Burger D.
Smith A.;Tichowitsch S.
Caven J.;Petersen D.
van Barneveld R.;Hine S.
Bates B.;McDine K.
Petersen D.;Madhoo N.
Osborne C.;Thompson C.
Van der Voort V.;Ridd P.
Klaasen J.;Brown S.
Jenkins T.;Cullen J.
Mansell M.;Ridd P.
van Gerwen M.;Suljovic M.
Ovens D.;Artut J.
Wade J.;Alcinas T.
Painter K.;Dolan B.
Artut J.;MacKenzie S.
Tabern A.;Burnett R.
Part J.;Laursen P.
Newton W.;Young D.
Thornton R.;Heydon N.
Laursen P.;Krcmar B.
Jones W.;Shepherd K.
Anderson G.;Hashimoto M.
Whitlock S.;Evans S.
Dudbridge M.;Roy A.
Padgett M.;Hashimoto M.
Hamilton A.;Smith D.
Baxter R.;Scholten R.
Lewis A.;Eccles T.
Lloyd C.;Welge A.
Scholten R.;Viinikka V.
Stompe C.;Wright P.
Taylor P.;Mawson G.
Webster M.;Maish S.
Beaton S.;Hylton M.
Mawson G.;Gionzon J.
Nicholson P.;Farmer S.
Taylor P.;Whitlock S.
Webster M.;van Barneveld R.
Taylor P.;Webster M.
van Barneveld R.;Whitlock S.
Taylor P.;Lewis A.
van Barneveld R.;Baxter R.
Whitlock S.;Wade J.
Stompe C.;Webster M.
van Barneveld R.;Painter K.
Wade J.;Hamilton A.
Baxter R.;Lloyd C.
Stompe C.;Dudbridge M.
Jenkins T.;Whitlock S.
Shepherd K.;Webster M.
Lewis A.;McDine K.
Taylor P.;Thornton R.
Wade J.;van Gerwen M.
Whitlock S.;Jones W.
Jenkins T.;Young D.
Hamilton A.;Beaton S.
Baxter R.;Anderson G.
van Barneveld R.;Dolan B.
Webster M.;Manley P.
Painter K.;Van der Voort V.
Part J.;Shepherd K.
Lloyd C.;Ovens D.
Thornton R.;Artut J.
Taylor P.;Hine S.
Tabern A.;Dudbridge M.
Lewis A.;Newton W.
McDine K.;Bates B.
King M.;Stompe C.
